,date,favorites,hashtags,query,retweets,tweet,url
56,2020-11-07,3637,['[]'],Is Joe Biden the president?,326,"“We’re fortunate that Joe’s got what it takes to be President and already carries himself that way,"" former President Barack Obama said in a statement congratulating Joe Biden. https://t.co/XOQ97Z0L62 https://t.co/4ozyrFqfl2",https://twitter.com/twitter/statuses/1325149062019035138
57,2020-11-07,24,['[]'],Is Joe Biden the president?,2,"""Joe Bidens lead was tightest in Georgia, where he was separated from President Donald Trump by just a few thousand votes early Saturday\nhttps://t.co/7fYJvYwY3r""",https://twitter.com/twitter/statuses/1325018477476900866
58,2020-11-29,0,"[""[{'text': 'uselectionresults', 'indices': [104, 122]}, {'text': 'TrumpIsPathetic', 'indices': [123, 139]}]""]",Is Joe Biden the president?,0,"He is delusional, he is ranting....you lost the election to President Elect Joe Biden. @realDonaldTrump #uselectionresults #TrumpIsPathetic",https://twitter.com/twitter/statuses/1333124817084674049
59,2020-11-08,8,"[""[{'text': 'Election2020', 'indices': [106, 119]}]""]",Is Joe Biden the president?,2,PHOTOS: Trump supporters rallied against the news that Joe Biden was projected to win the U.S. presidency #Election2020 https://t.co/jQnPM9MGru https://t.co/sN9zjBBIBu,https://twitter.com/twitter/statuses/1325501417302487042
60,2020-11-03,204757,['[]'],Pennsylvania votes,15800,"""Lets win this thing, Pennsylvania! https://t.co/jmCXbuL5V3""",https://twitter.com/twitter/statuses/1323747783732535300
61,2020-11-01,501,['[]'],Pennsylvania votes,70,Democrats grow more anxious about Pennsylvania https://t.co/xJQK99bvFR,https://twitter.com/twitter/statuses/1322950540469391365
62,2020-11-06,17,['[]'],Pennsylvania votes,8,Biden narrows Pennsylvania gap as vote count grinds on - live blog: https://t.co/7FdFPxIcGF,https://twitter.com/twitter/statuses/1324616524360011778
63,2020-11-06,481,"[""[{'text': 'Election2020', 'indices': [69, 82]}]""]",Pennsylvania votes,52,"See where the vote count in Pennsylvania stands now, and follow live #Election2020 results here: \nhttps://t.co/Eh2ptdb91v",https://twitter.com/twitter/statuses/1324529458729095168
64,2020-11-05,631,"[""[{'text': 'Election2020', 'indices': [69, 82]}]""]",Pennsylvania votes,59,"See where the vote count in Pennsylvania stands now, and follow live #Election2020 results here.\nhttps://t.co/Q7DI0GZaxp",https://twitter.com/twitter/statuses/1324353298854535168
65,2020-11-06,621,"[""[{'text': 'Election2020', 'indices': [69, 82]}]""]",Pennsylvania votes,91,"See where the vote count in Pennsylvania stands now, and follow live #Election2020 results here: \nhttps://t.co/t65yD8mn2W",https://twitter.com/twitter/statuses/1324587336378781696
66,2020-11-06,3,['[]'],Pennsylvania votes,8,Pennsylvania court orders segregation of provisional ballots https://t.co/nIBkfNJhet,https://twitter.com/twitter/statuses/1324804003746766848
67,2020-11-02,532,['[]'],Pennsylvania votes,64,Biden turns to Pennsylvania as he hammers Trump’s presidency https://t.co/vsy6f5Kyop,https://twitter.com/twitter/statuses/1323265612416733184
68,2020-11-05,511,['[]'],Pennsylvania votes,74,"""Heres what Pennsylvania looks like, with an estimated 93 percent of votes counted https://t.co/c5XB2G32gE https://t.co/h9N74Kzruo""",https://twitter.com/twitter/statuses/1324488440835121153
69,2020-11-05,482,['[]'],Pennsylvania votes,80,"""Heres what Pennsylvania looks like, with an estimated 92 percent of votes counted https://t.co/bQ6E6hHdmL https://t.co/VbOUl4vpCn""",https://twitter.com/twitter/statuses/1324446554619600896
70,2020-10-29,83,['[]'],Pennsylvania votes,13,READ: Supreme Court orders in North Carolina and Pennsylvania voting cases https://t.co/fRVBHmECvS https://t.co/N9NaPPQV8J,https://twitter.com/twitter/statuses/1321632098411839488
71,2020-11-07,53,['[]'],Pennsylvania votes,9,"""Trump legal blitz wont impact Pennsylvania vote, state AG says https://t.co/sYFQPxloGT""",https://twitter.com/twitter/statuses/1324908745063849984
72,2020-11-06,3445,['[]'],Pennsylvania votes,401,Biden overtakes Trump in Georgia; race narrows in Pennsylvania https://t.co/setZXXsQrV,https://twitter.com/twitter/statuses/1324655532951699456
73,2020-11-06,3668,['[]'],Pennsylvania votes,529,Joe Biden takes lead in count in Pennsylvania and Georgia https://t.co/pPg1eeasm6,https://twitter.com/twitter/statuses/1324711356466155520
74,2020-11-04,231,['[]'],Pennsylvania votes,71,"Counting in Wisconsin, Pennsylvania, Michigan likely to stretch into Wednesday https://t.co/LVwWCNZ6oH",https://twitter.com/twitter/statuses/1323863113368772608
75,2020-11-05,12,['[]'],Pennsylvania votes,4,"Pennsylvania must segregate some flawed ballots, judge says https://t.co/B4UaoFuBcH",https://twitter.com/twitter/statuses/1324456719636930566
76,2020-11-03,681,['[]'],Pennsylvania votes,79,"""Twitter labels and restricts President Trumps post about voting in Pennsylvania on election eve https://t.co/PjwabqZddI https://t.co/zFTnF3TtCq""",https://twitter.com/twitter/statuses/1323460920786472962
77,2020-11-07,4362,['[]'],Pennsylvania votes,342,"Biden is projected to win Pennsylvania, according to Edison Research https://t.co/THGpKsXs04 https://t.co/1UIQKCIRq6",https://twitter.com/twitter/statuses/1325114457908011008
78,2020-11-06,6,['[]'],Pennsylvania votes,2,"""Whats happening in Pennsylvania? The state that may be about to tip the US election https://t.co/3R8yQmaNIZ""",https://twitter.com/twitter/statuses/1324820061002047488
79,2020-11-10,4828,['[]'],Pennsylvania votes,961,"""False information about Joe Bidens victory in Pennsylvania is surging. https://t.co/yOMXjJwFQl https://t.co/Fvld4wlZhX""",https://twitter.com/twitter/statuses/1326236168544002052
80,2020-12-06,0,"[""[{'text': 'Vote', 'indices': [54, 59]}, {'text': 'GeorgiansVoteRevWarnockAndOssoffToSaveAmerica', 'indices': [60, 106]}, {'text': 'Georgia', 'indices': [108, 116]}]""]",Georgia votes,0,@AdrBell High turnout in Georgia can change all that!\n#Vote\n#GeorgiansVoteRevWarnockAndOssoffToSaveAmerica \n#Georgia,https://twitter.com/twitter/statuses/1335681485223944192
81,2020-12-06,0,"[""[{'text': 'georgia', 'indices': [81, 89]}, {'text': 'register', 'indices': [90, 99]}, {'text': 'runoff', 'indices': [100, 107]}, {'text': 'senate', 'indices': [108, 115]}, {'text': 'election', 'indices': [116, 125]}, {'text': 'vote', 'indices': [126, 131]}]""]",Georgia votes,2,"RT @tildieandchewie: Georgia register, vote and save us from Mitch McConnell\n.\n.\n#georgia #register #runoff #senate #election #vote #democr…",https://twitter.com/twitter/statuses/1335688936623140865
82,2020-12-06,0,"[""[{'text': 'Georgia', 'indices': [4, 12]}, {'text': 'Vote', 'indices': [34, 39]}]""]",Georgia votes,0,Hey #Georgia. Please register and #Vote. We are ALL counting on you. https://t.co/lkA09yKaxT,https://twitter.com/twitter/statuses/1335677097583333376
83,2020-12-06,0,"[""[{'text': 'vote', 'indices': [58, 63]}]""]",Georgia votes,0,@RiversideNYC Your Georgia siblings appreciate your work! #vote,https://twitter.com/twitter/statuses/1335676865483329536
84,2020-12-06,0,"[""[{'text': 'VOTE', 'indices': [14, 19]}]""]",Georgia votes,0,@Perduesenate #VOTE\nVote For JON OSSOFF\nGeorgians Deserve Better!\n\n@sendavidperdue \nVOTE OUT Trump Sycophant\nVOTE OUT A Blatant Racist\nVOTE OUT Covid Silencer\nVOTE OUT Insider Trader\nVOTE OUT Debate Dodger\nVOTE OUT Georgia Failure\nVOTE OUT DAVID PERDUE\n https://t.co/Q9hVv8Khrr,https://twitter.com/twitter/statuses/1335664576822697984
85,2020-12-06,0,"[""[{'text': 'VOTE', 'indices': [11, 16]}]""]",Georgia votes,0,@KLoeffler #VOTE\nVote For RAPHAEL WARNOCK\nGeorgians Deserve Better!\n\n@SenatorLoeffler\nVOTE OUT Trump Sycophant\nVOTE OUT Covid Silencer\nVOTE OUT NYSE Husband Corruption\nVOTE OUT Insider Trader\nVOTE OUT Georgia Failure\nVOTE OUT KELLY LOEFFLER\n\nTrades After Briefing... https://t.co/5ithDMxC3B,https://twitter.com/twitter/statuses/1335665417029898242
86,2020-12-06,0,"[""[{'text': 'VOTE', 'indices': [11, 16]}]""]",Georgia votes,0,@KLoeffler #VOTE\nVote For RAPHAEL WARNOCK\nGeorgians Deserve Better!\n\n @SenatorLoeffler\nVOTE OUT Trump Sycophant\nVOTE OUT Covid Silencer\nVOTE OUT NYSE Husband Corruption\nVOTE OUT Insider Trader\nVOTE OUT Georgia Failure\nVOTE OUT KELLY LOEFFLER https://t.co/DBoeMMgZnb via @thedailybeast,https://twitter.com/twitter/statuses/1335665619077828615
87,2020-12-06,0,"[""[{'text': 'VOTE', 'indices': [28, 33]}]""]",Georgia votes,0,@KLoeffler @realDonaldTrump #VOTE\nVote For RAPHAEL WARNOCK\nGeorgians Deserve Better!\n @SenatorLoeffler\nVOTE OUT Trump Sycophant\nVOTE OUT Covid Silencer\nVOTE OUT NYSE Husband Corruption\nVOTE OUT Insider Trader\nVOTE OUT Georgia Failure\nVOTE OUT KELLY LOEFFLER\n\nTrades After Briefing... https://t.co/5ithDMxC3B,https://twitter.com/twitter/statuses/1335663462899396619
88,2020-12-06,0,"[""[{'text': 'VOTE', 'indices': [31, 36]}]""]",Georgia votes,0,@Perduesenate @kayleighmcenany #VOTE\nVote For JON OSSOFF\nGeorgians Deserve Better!\n\n@sendavidperdue @Perduesenate\nVOTE OUT Trump Sycophant\nVOTE OUT A Blatant Racist\nVOTE OUT Covid Silencer\nVOTE OUT Insider Trader\nVOTE OUT Debate Dodger\nVOTE OUT Georgia Failure\nVOTE OUT DAVID PERDUE\n https://t.co/Q9hVv8Khrr,https://twitter.com/twitter/statuses/1335661382440792066
89,2020-12-06,0,"[""[{'text': 'VOTE', 'indices': [45, 50]}]""]",Georgia votes,0,@KLoeffler @realDonaldTrump @ReverendWarnock #VOTE\nVote For RAPHAEL WARNOCK\nGeorgians Deserve Better!\n\n @SenatorLoeffler\nVOTE OUT Trump Sycophant\nVOTE OUT Covid Silencer\nVOTE OUT NYSE Husband Corruption\nVOTE OUT Insider Trader\nVOTE OUT Georgia Failure\nVOTE OUT KELLY LOEFFLER\n\nTrades After Briefing... https://t.co/5ithDMxC3B,https://twitter.com/twitter/statuses/1335680474069553152
90,2020-11-05,153,"[""[{'text': 'Election2020', 'indices': [80, 93]}]""]",Georgia votes,43,"""LATEST: Numbers out of Georgia show there are about ~36,000 votes left to count #Election2020 \n\nTrumps lead in the AP tally of Georgia is down to ~9,500 https://t.co/6Vuk7rclmR https://t.co/LPzTlbak0M""",https://twitter.com/twitter/statuses/1324488482824355842
91,2020-10-28,257354,['[]'],Georgia votes,14510,We voted. https://t.co/LjaPBB69wC,https://twitter.com/twitter/statuses/1321537217441996800
92,2020-12-06,0,"[""[{'text': 'VOTE', 'indices': [11, 16]}]""]",Georgia votes,0,"@KLoeffler #VOTE\nVote For RAPHAEL WARNOCK\nGeorgians Deserve Better!\n\n @SenatorLoeffler\nVOTE OUT Trump Sycophant\nVOTE OUT NYSE Husband Corruption\nVOTE OUT Insider Trader\nVOTE OUT Georgia Failure\nVOTE OUT KELLY LOEFFLER\n\nUnder Fire for Trades, Kelly Loeffler... https://t.co/Byj6mXeISC",https://twitter.com/twitter/statuses/1335665307109765122
93,2020-12-06,1,"[""[{'text': 'VOTE', 'indices': [28, 33]}]""]",Georgia votes,0,"@KLoeffler @realDonaldTrump #VOTE\nVote For RAPHAEL WARNOCK\nGeorgians Deserve Better!\n\n @SenatorLoeffler\nVOTE OUT Trump Sycophant\nVOTE OUT NYSE Husband Corruption\nVOTE OUT Insider Trader\nVOTE OUT Georgia Failure\nVOTE OUT KELLY LOEFFLER\n\nUnder Fire for Trades, Kelly Loeffler... https://t.co/Byj6mXeISC",https://twitter.com/twitter/statuses/1335663375595036680
94,2020-12-06,0,"[""[{'text': 'TrumpVirus', 'indices': [110, 121]}, {'text': 'voteblue', 'indices': [122, 131]}, {'text': 'Georgia', 'indices': [132, 140]}]""]",Georgia votes,1,https://t.co/v9QDWrLNEE Our Republican-led senate has failed us completely. Georgia vote and flip the senate! #TrumpVirus #voteblue #Georgia @ReverendWarnock @ossoff,https://twitter.com/twitter/statuses/1335691989526794240
95,2020-12-06,1,"[""[{'text': 'VOTE', 'indices': [28, 33]}]""]",Georgia votes,1,@KLoeffler @realDonaldTrump #VOTE\nVote For RAPHAEL WARNOCK\nGeorgians Deserve Better!\n\n @SenatorLoeffler \nVOTE OUT Trump Sycophant\nVOTE OUT NYSE Corruption\nVOTE OUT Insider Trader\nVOTE OUT Georgia Failure\nVOTE OUT KELLY LOEFFLER\n\nSen. Kelly Loeffler sold $18 million... https://t.co/oCnZ9K0l99 via @voxdotcom,https://twitter.com/twitter/statuses/1335663288005382146
96,2020-11-06,5128,['[]'],Georgia votes,904,Biden has taken the lead in both Georgia and Pennsylvania this morning as votes continue to be counted: https://t.co/RGmjCTnWKw\n\nResults are here as they come in:\nGeorgia: https://t.co/yZg2EpYJ5i\nPennsylvania: https://t.co/1QlxuuyGdm https://t.co/BfPsuaHBEh,https://twitter.com/twitter/statuses/1324715462832345089
97,2020-12-06,0,"[""[{'text': 'Georgia', 'indices': [0, 8]}, {'text': 'gavotes', 'indices': [144, 152]}, {'text': 'vote', 'indices': [153, 158]}]""]",Georgia votes,0,"""#Georgia! Register to vote. Make your voice HEARD! Not voting is not making a statement against anyone; no one can hear you if you dont speak! #gavotes #vote https://t.co/UObmVurH8f""",https://twitter.com/twitter/statuses/1335681666812006400
98,2020-12-06,6,"[""[{'text': 'VoteBlue', 'indices': [13, 22]}]""]",Georgia votes,2,"Go, Georgia! #VoteBlue https://t.co/atLzIo23ro",https://twitter.com/twitter/statuses/1335662352814010372
99,2020-10-30,46,['[]'],Georgia votes,7,"""Georgias secretary of state says voting is running smoothly despite Hurricane Zeta and new voting machines https://t.co/eRArawuY2N""",https://twitter.com/twitter/statuses/1322230550762033159
100,2020-11-04,360,['[]'],Texas votes,40,"Trump projected to win Texas, crushing ""Blue Texas"" dreams once again https://t.co/rDd1IMC7dC",https://twitter.com/twitter/statuses/1323886812520189952
101,2020-11-02,119,['[]'],Texas votes,32,"The FBI is investigating an incident of alleged harassment by Trump supporters of a Biden campaign bus in Texas, the Texas Tribune reports https://t.co/CcQfOTZu2Z",https://twitter.com/twitter/statuses/1323065389446823942
102,2020-11-01,56,['[]'],Texas votes,22,"""I regret livin\ in Texas"" is the punchline. https://t.co/TsO0dKV6GJ",https://twitter.com/twitter/statuses/1322844270324256768
103,2020-11-01,71455,['[]'],Texas votes,9793,Something big is happening in Texas. https://t.co/fNXqlVthok,https://twitter.com/twitter/statuses/1322735427594395648
104,2020-10-27,0,['[]'],Texas votes,498,RT @JCisnerosTX: The key to flipping Texas is by running up the numbers in South Texas. 🤠\n\nJoin me and Sen. @BernieSanders as we mobilize v…,https://twitter.com/twitter/statuses/1321177785319251971
105,2020-11-01,95993,['[]'],Texas votes,13947,"""Lets turn Texas blue.\n\nhttps://t.co/COWdd5hED8 https://t.co/TPNH6BKXGd""",https://twitter.com/twitter/statuses/1323023259512659968
106,2020-11-04,197,['[]'],Texas votes,43,"Here is a look at Texas, where an estimated 44 percent of votes have been counted https://t.co/qBB8WMytII",https://twitter.com/twitter/statuses/1323800721481977857
107,2020-10-29,608,['[]'],Texas votes,92,Texas casts more than 8.4 million votes — 94% of total 2016 vote https://t.co/1GxJtdFY8g https://t.co/1zJP2NQbU0,https://twitter.com/twitter/statuses/1321828901061087232
108,2020-10-31,4511,['[]'],Texas votes,584,"Together, we can turn Texas blue and soundly defeat Trump. \n\nJoin us tomorrow for our virtual town hall, Fighting for Justice in South Texas, featuring @JCisnerosTX. \n\nWatch at 6 pm CT / 7 pm ET at https://t.co/vreIiWfeoS. https://t.co/SyfImsziCl",https://twitter.com/twitter/statuses/1322674513021149189
